p,n_bodies,gflops,inter
16,1024,498.065,24.903
16,1024,498.290,24.914
16,1024,497.864,24.893
16,1024,498.077,24.904
16,1024,498.384,24.919
16,1024,498.384,24.919
16,1024,498.254,24.913
16,1024,498.112,24.906
16,1024,497.935,24.897
16,1024,498.089,24.904
32,1024,383.827,19.191
32,1024,612.164,30.608
32,1024,610.969,30.548
32,1024,611.539,30.577
32,1024,611.504,30.575
32,1024,611.130,30.556
32,1024,611.629,30.581
32,1024,611.397,30.570
32,1024,611.308,30.565
32,1024,611.325,30.566
128,1024,669.140,33.457
128,1024,669.803,33.490
128,1024,669.781,33.489
128,1024,669.161,33.458
128,1024,669.824,33.491
128,1024,669.076,33.454
128,1024,665.340,33.267
128,1024,669.097,33.455
128,1024,669.119,33.456
128,1024,669.738,33.487
256,1024,441.682,22.084
256,1024,441.385,22.069
256,1024,441.887,22.094
256,1024,442.428,22.121
256,1024,443.767,22.188
256,1024,442.036,22.102
256,1024,440.810,22.040
256,1024,441.403,22.070
256,1024,441.181,22.059
256,1024,441.701,22.085
512,1024,246.280,12.314
512,1024,246.344,12.317
512,1024,245.712,12.286
512,1024,245.715,12.286
512,1024,245.905,12.295
512,1024,245.787,12.289
512,1024,245.692,12.285
512,1024,245.810,12.290
512,1024,245.937,12.297
512,1024,245.767,12.288
1024,1024,129.498,6.475
1024,1024,129.488,6.474
1024,1024,129.510,6.475
1024,1024,129.406,6.470
1024,1024,129.433,6.472
1024,1024,129.467,6.473
1024,1024,129.325,6.466
1024,1024,129.513,6.476
1024,1024,129.507,6.475
1024,1024,129.468,6.473
16,4096,1759.559,87.978
16,4096,1676.045,83.802
16,4096,1760.694,88.035
16,4096,1748.228,87.411
16,4096,1734.590,86.730
16,4096,1745.218,87.261
16,4096,1717.455,85.873
16,4096,1752.455,87.623
16,4096,1740.222,87.011
16,4096,1738.058,86.903
32,4096,2609.534,130.477
32,4096,2612.317,130.616
32,4096,2523.687,126.184
32,4096,2589.017,129.451
32,4096,2596.469,129.823
32,4096,2621.502,131.075
32,4096,2523.003,126.150
32,4096,2597.313,129.866
32,4096,2594.462,129.723
32,4096,2586.681,129.334
128,4096,3041.582,152.079
128,4096,3039.378,151.969
128,4096,3038.112,151.906
128,4096,2883.005,144.150
128,4096,3004.166,150.208
128,4096,3042.989,152.149
128,4096,3042.741,152.137
128,4096,2960.877,148.044
128,4096,2978.803,148.940
128,4096,3011.149,150.557
256,4096,2133.976,106.699
256,4096,2132.580,106.629
256,4096,2132.918,106.646
256,4096,2130.873,106.544
256,4096,2124.182,106.209
256,4096,2132.620,106.631
256,4096,2132.485,106.624
256,4096,2132.186,106.609
256,4096,2134.058,106.703
256,4096,2131.712,106.586
512,4096,1134.470,56.723
512,4096,1134.585,56.729
512,4096,1134.753,56.738
512,4096,1134.942,56.747
512,4096,1134.029,56.701
512,4096,1134.730,56.737
512,4096,1133.990,56.700
512,4096,1134.071,56.704
512,4096,1134.450,56.723
512,4096,1134.922,56.746
1024,4096,580.352,29.018
1024,4096,580.137,29.007
1024,4096,580.464,29.023
1024,4096,580.347,29.017
1024,4096,580.247,29.012
1024,4096,580.422,29.021
1024,4096,580.305,29.015
1024,4096,580.461,29.023
1024,4096,580.534,29.027
1024,4096,580.565,29.028
16,16384,2154.682,107.734
16,16384,2147.305,107.365
16,16384,2144.918,107.246
16,16384,2139.769,106.988
16,16384,2131.882,106.594
16,16384,2119.553,105.978
16,16384,2114.557,105.728
16,16384,2104.947,105.247
16,16384,2102.326,105.116
16,16384,2100.852,105.043
32,16384,3459.151,172.958
32,16384,3459.059,172.953
32,16384,3452.086,172.604
32,16384,3438.397,171.920
32,16384,3435.904,171.795
32,16384,3435.235,171.762
32,16384,3433.662,171.683
32,16384,3415.896,170.795
32,16384,3421.286,171.064
32,16384,3414.740,170.737
128,16384,3626.678,181.334
128,16384,3616.398,180.820
128,16384,3624.846,181.242
128,16384,3608.796,180.440
128,16384,3599.851,179.993
128,16384,3594.663,179.733
128,16384,3588.489,179.424
128,16384,3582.493,179.125
128,16384,3574.478,178.724
128,16384,3575.407,178.770
256,16384,3729.430,186.472
256,16384,3717.410,185.870
256,16384,3713.052,185.653
256,16384,3709.973,185.499
256,16384,3703.332,185.167
256,16384,3701.670,185.083
256,16384,3689.617,184.481
256,16384,3684.815,184.241
256,16384,3680.198,184.010
256,16384,3673.379,183.669
512,16384,3799.269,189.963
512,16384,3794.044,189.702
512,16384,3789.925,189.496
512,16384,3777.349,188.867
512,16384,3771.936,188.597
512,16384,3773.659,188.683
512,16384,3766.574,188.329
512,16384,3761.898,188.095
512,16384,3758.537,187.927
512,16384,3751.823,187.591
1024,16384,2338.251,116.913
1024,16384,2333.785,116.689
1024,16384,2325.107,116.255
1024,16384,2320.520,116.026
1024,16384,2315.744,115.787
1024,16384,2309.647,115.482
1024,16384,2306.765,115.338
1024,16384,2302.167,115.108
1024,16384,2299.729,114.986
1024,16384,2294.618,114.731
16,65536,2269.274,113.464
16,65536,2260.200,113.010
16,65536,2246.798,112.340
16,65536,2246.455,112.323
16,65536,2246.185,112.309
16,65536,2246.942,112.347
16,65536,2247.025,112.351
16,65536,2247.078,112.354
16,65536,2246.577,112.329
16,65536,2246.747,112.337
32,65536,4042.406,202.120
32,65536,3974.032,198.702
32,65536,3954.352,197.718
32,65536,3921.093,196.055
32,65536,3912.195,195.610
32,65536,3894.128,194.706
32,65536,3879.675,193.984
32,65536,3872.136,193.607
32,65536,3870.021,193.501
32,65536,3870.807,193.540
128,65536,4097.254,204.863
128,65536,4078.870,203.944
128,65536,4072.467,203.623
128,65536,4069.951,203.498
128,65536,4068.726,203.436
128,65536,4066.218,203.311
128,65536,4067.598,203.380
128,65536,4065.947,203.297
128,65536,4067.814,203.391
128,65536,4066.896,203.345
256,65536,4098.391,204.920
256,65536,4035.373,201.769
256,65536,3988.527,199.426
256,65536,3956.587,197.829
256,65536,3941.732,197.087
256,65536,3931.369,196.568
256,65536,3924.908,196.245
256,65536,3921.955,196.098
256,65536,3918.943,195.947
256,65536,3917.428,195.871
512,65536,3668.356,183.418
512,65536,3646.853,182.343
512,65536,3638.057,181.903
512,65536,3629.228,181.461
512,65536,3621.543,181.077
512,65536,3618.382,180.919
512,65536,3618.372,180.919
512,65536,3612.349,180.617
512,65536,3612.028,180.601
512,65536,3611.848,180.592
1024,65536,3706.680,185.334
1024,65536,3682.977,184.149
1024,65536,3667.812,183.391
1024,65536,3654.587,182.729
1024,65536,3650.790,182.539
1024,65536,3646.076,182.304
1024,65536,3645.383,182.269
1024,65536,3645.175,182.259
1024,65536,3643.740,182.187
1024,65536,3641.733,182.087
