yn,unroll,n_bodies,gflops,inter
0,0,1024,421.420,21.071
0,0,1024,421.420,21.071
0,0,1024,421.547,21.077
0,0,1024,421.369,21.068
0,0,1024,421.606,21.080
0,0,1024,420.768,21.038
0,0,1024,421.428,21.071
0,0,1024,421.470,21.074
0,0,1024,421.248,21.064
0,0,1024,421.563,21.078
1,2,1024,347.544,17.377
1,2,1024,347.625,17.381
1,2,1024,347.590,17.380
1,2,1024,347.781,17.389
1,2,1024,347.481,17.374
1,2,1024,347.458,17.373
1,2,1024,347.464,17.373
1,2,1024,346.608,17.330
1,2,1024,347.954,17.398
1,2,1024,348.133,17.047
1,4,1024,336.908,16.845
1,4,1024,402.254,20.113
1,4,1024,402.316,20.116
1,4,1024,402.787,20.139
1,4,1024,403.066,20.153
1,4,1024,402.702,20.135
1,4,1024,402.702,20.135
1,4,1024,402.578,20.129
1,4,1024,402.486,20.124
1,4,1024,402.555,20.127
1,16,1024,442.362,22.118
1,16,1024,442.344,22.117
1,16,1024,442.886,22.144
1,16,1024,442.951,22.148
1,16,1024,443.045,22.152
1,16,1024,442.605,22.130
1,16,1024,442.633,22.132
1,16,1024,442.633,22.132
1,16,1024,442.306,22.115
1,16,1024,442.223,22.111
1,32,1024,448.589,22.429
1,32,1024,448.656,22.433
1,32,1024,448.454,22.423
1,32,1024,448.196,22.410
1,32,1024,451.418,22.571
1,32,1024,448.243,22.412
1,32,1024,447.918,22.396
1,32,1024,448.004,22.400
1,32,1024,447.564,22.378
1,32,1024,448.397,22.420
0,0,4096,2007.240,100.362
0,0,4096,2007.252,100.363
0,0,4096,2008.045,100.402
0,0,4096,2007.781,100.389
0,0,4096,2007.937,100.397
0,0,4096,2007.060,100.353
0,0,4096,2006.556,100.328
0,0,4096,2007.564,100.378
0,0,4096,2006.568,100.328
0,0,4096,2007.252,100.363
1,2,4096,1602.906,80.145
1,2,4096,1602.975,80.149
1,2,4096,1603.565,80.178
1,2,4096,1602.921,80.146
1,2,4096,1603.595,80.180
1,2,4096,1602.921,80.146
1,2,4096,1603.511,80.176
1,2,4096,1603.871,80.194
1,2,4096,1603.741,80.187
1,2,4096,1633.495,81.675
1,4,4096,1917.900,95.895
1,4,4096,1915.120,95.756
1,4,4096,1915.721,95.786
1,4,4096,1914.967,95.748
1,4,4096,1908.454,95.423
1,4,4096,1914.923,95.746
1,4,4096,1915.448,95.772
1,4,4096,1914.584,95.729
1,4,4096,1914.978,95.749
1,4,4096,1914.628,95.731
1,16,4096,2141.631,107.082
1,16,4096,2141.535,107.077
1,16,4096,2141.194,107.060
1,16,4096,2141.385,107.069
1,16,4096,2141.289,107.064
1,16,4096,2140.129,107.006
1,16,4096,2142.082,107.104
1,16,4096,2141.795,107.090
1,16,4096,2141.481,107.074
1,16,4096,2140.538,107.027
1,32,4096,2175.553,108.778
1,32,4096,2176.456,108.823
1,32,4096,2146.234,107.312
1,32,4096,2176.400,108.820
1,32,4096,2158.910,107.946
1,32,4096,2149.616,107.481
1,32,4096,2173.186,108.659
1,32,4096,2162.890,108.145
1,32,4096,2151.656,107.583
1,32,4096,2173.651,108.683
0,0,16384,3658.734,182.937
0,0,16384,3655.356,182.768
0,0,16384,3646.911,182.346
0,0,16384,3639.559,181.978
0,0,16384,3639.561,181.978
0,0,16384,3630.720,181.536
0,0,16384,3623.603,181.180
0,0,16384,3618.699,180.935
0,0,16384,3610.780,180.539
0,0,16384,3604.588,180.229
1,2,16384,3412.166,170.608
1,2,16384,3406.355,170.318
1,2,16384,3391.940,169.597
1,2,16384,3372.830,168.641
1,2,16384,3376.402,168.820
1,2,16384,3362.631,168.132
1,2,16384,3358.949,167.947
1,2,16384,3355.233,167.762
1,2,16384,3351.622,167.581
1,2,16384,3348.253,167.413
1,4,16384,3538.841,176.942
1,4,16384,3531.065,176.553
1,4,16384,3524.181,176.209
1,4,16384,3520.906,176.045
1,4,16384,3516.370,175.818
1,4,16384,3509.942,175.497
1,4,16384,3503.620,175.181
1,4,16384,3489.229,174.461
1,4,16384,3489.850,174.493
1,4,16384,3486.224,174.311
1,16,16384,3705.706,185.285
1,16,16384,3694.367,184.718
1,16,16384,3687.098,184.355
1,16,16384,3681.134,184.057
1,16,16384,3670.977,183.549
1,16,16384,3665.399,183.270
1,16,16384,3663.207,183.160
1,16,16384,3664.143,183.207
1,16,16384,3656.760,182.838
1,16,16384,3654.619,182.731
1,32,16384,3730.542,186.527
1,32,16384,3720.530,186.026
1,32,16384,3715.095,185.755
1,32,16384,3711.096,185.555
1,32,16384,3708.322,185.416
1,32,16384,3705.645,185.282
1,32,16384,3693.175,184.659
1,32,16384,3684.739,184.237
1,32,16384,3686.348,184.317
1,32,16384,3669.527,183.476
0,0,65536,3944.742,197.237
0,0,65536,3874.480,193.724
0,0,65536,3857.460,192.873
0,0,65536,3850.585,192.529
0,0,65536,3851.201,192.560
0,0,65536,3851.994,192.600
0,0,65536,3851.099,192.555
0,0,65536,3850.176,192.509
0,0,65536,3851.607,192.580
0,0,65536,3850.171,192.509
1,2,65536,3726.797,186.340
1,2,65536,3727.823,186.391
1,2,65536,3727.235,186.362
1,2,65536,3726.761,186.338
1,2,65536,3728.480,186.424
1,2,65536,3727.747,186.387
1,2,65536,3727.659,186.383
1,2,65536,3728.679,186.434
1,2,65536,3727.085,186.354
1,2,65536,3728.022,186.401
1,4,65536,3897.481,194.874
1,4,65536,3858.203,192.910
1,4,65536,3840.464,192.023
1,4,65536,3840.325,192.016
1,4,65536,3839.984,191.999
1,4,65536,3837.520,191.876
1,4,65536,3837.325,191.866
1,4,65536,3836.332,191.817
1,4,65536,3835.521,191.776
1,4,65536,3836.135,191.807
1,4,65536,3835.011,191.751
1,16,65536,4098.391,204.920
1,16,65536,4035.373,201.769
1,16,65536,3988.527,199.426
1,16,65536,3956.587,197.829
1,16,65536,3941.732,197.087
1,16,65536,3931.369,196.568
1,16,65536,3924.908,196.245
1,16,65536,3921.955,196.098
1,16,65536,3918.943,195.947
1,16,65536,3917.428,195.871
1,32,65536,4106.725,205.336
1,32,65536,4049.804,202.490
1,32,65536,4005.310,200.265
1,32,65536,3980.620,199.031
1,32,65536,3972.281,198.614
1,32,65536,3962.118,198.106
1,32,65536,3956.815,197.841
1,32,65536,3952.230,197.611
1,32,65536,3950.444,197.522
1,32,65536,3951.323,197.566
