n_bodies,gflopd,inter
2,1.860,0.093
2,1.905,0.095
2,1.818,0.091
2,2.000,0.100
2,1.860,0.093
2,1.509,0.075
2,1.905,0.095
2,1.951,0.098
2,1.905,0.095
2,1.905,0.095
6,5.902,0.295
6,5.902,0.295
6,5.669,0.283
6,5.902,0.295
6,5.902,0.295
6,5.854,0.293
6,5.669,0.283
6,5.902,0.295
6,5.854,0.293
6,5.854,0.293
1024,8.803,0.440
1024,9.111,0.456
1024,8.952,0.448
1024,9.072,0.454
1024,8.507,0.425
1024,8.947,0.447
1024,8.879,0.444
1024,8.953,0.448
1024,8.948,0.447
1024,9.183,0.459
4096,9.139,0.457
4096,8.953,0.448
4096,8.843,0.442
4096,8.849,0.442
4096,8.954,0.448
4096,9.137,0.457
4096,8.911,0.446
4096,8.758,0.438
4096,9.132,0.457
4096,9.148,0.457
16384,8.627,0.431
65536,8.948,0.447
